Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-09-30 22:00:00,2021-10-31 23:00:00,2021-09-30,22:00:00,2021-10-31,23:00:00,2021,9,Thursday,Light_Vehicles,5414
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-09-30 22:00:00,2021-10-31 23:00:00,2021-09-30,22:00:00,2021-10-31,23:00:00,2021,9,Thursday,Light_Vehicles,5620
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-09-30 22:00:00,2021-10-31 23:00:00,2021-09-30,22:00:00,2021-10-31,23:00:00,2021,9,Thursday,Light_Vehicles,888
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-09-30 22:00:00,2021-10-31 23:00:00,2021-09-30,22:00:00,2021-10-31,23:00:00,2021,9,Thursday,Light_Vehicles,5624
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-09-30 22:00:00,2021-10-31 23:00:00,2021-09-30,22:00:00,2021-10-31,23:00:00,2021,9,Thursday,Light_Vehicles,6298
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-09-30 22:00:00,2021-10-31 23:00:00,2021-09-30,22:00:00,2021-10-31,23:00:00,2021,9,Thursday,Light_Vehicles,11922
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-10-31 23:00:00,2021-11-30 23:00:00,2021-10-31,23:00:00,2021-11-30,23:00:00,2021,10,Sunday,Light_Vehicles,5564
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-10-31 23:00:00,2021-11-30 23:00:00,2021-10-31,23:00:00,2021-11-30,23:00:00,2021,10,Sunday,Light_Vehicles,5744
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-10-31 23:00:00,2021-11-30 23:00:00,2021-10-31,23:00:00,2021-11-30,23:00:00,2021,10,Sunday,Light_Vehicles,948
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-10-31 23:00:00,2021-11-30 23:00:00,2021-10-31,23:00:00,2021-11-30,23:00:00,2021,10,Sunday,Light_Vehicles,5748
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-10-31 23:00:00,2021-11-30 23:00:00,2021-10-31,23:00:00,2021-11-30,23:00:00,2021,10,Sunday,Light_Vehicles,6508
